"Company","Date","Time","Rocket","Mission","RocketStatus","Price","MissionStatus","Country_id"
"US Air Force","1962-02-27","2022-08-15 19:39:00","Thor DM-21 Agena-B","Discoverer 38","1","0","2","3"
"US Air Force","1962-03-07","2022-08-15 16:06:00","Thor DM-19 Delta","OSO-1","1","0","2","3"
"General Dynamics","1962-03-07","2022-08-15 22:10:00","Atlas-LV3 Agena-B","Samos 6","1","0","2","3"
"RVSN USSR","1962-03-16","2022-08-15 11:59:00","Cosmos-2I (63S1)","Cosmos 1","1","0","2","14"
"RVSN USSR","1962-04-06","2022-08-15 17:15:00","Cosmos-2I (63S1)","Cosmos 2","1","0","2","14"
"General Dynamics","1962-04-09","2022-08-15 15:04:00","Atlas-LV3 Agena-B","Midas 5","1","0","2","3"
"US Air Force","1962-04-18","2022-08-15 00:54:00","Thor DM-21 Agena-B","Discoverer 39","1","0","2","3"
"General Dynamics","1962-04-23","2022-08-15 20:50:00","Atlas-LV3 Agena-B","Ranger 4","1","0","2","3"
"RVSN USSR","1962-04-24","2022-08-15 04:00:00","Cosmos-2I (63S1)","Cosmos 3","1","0","2","14"
"RVSN USSR","1962-04-26","2022-08-15 10:02:00","Vostok","Cosmos 4","1","0","2","21"
"NASA","1962-04-26","2022-08-15 10:49:00","Scout X-2","Solrad 4B","1","0","4","3"
"US Air Force","1962-04-26","2022-08-15 18:00:00","Thor DM-19 Delta","Ariel 1","1","0","2","3"
"General Dynamics","1962-04-26","2022-08-15 18:56:00","Atlas-LV3 Agena-B","Samos 7","1","0","2","3"
"US Air Force","1962-04-29","2022-08-15 00:30:00","Thor DM-21 Agena-B","FTV 1125","1","0","2","3"
"General Dynamics","1962-05-08","2022-08-15 19:49:00","Atlas-LV3C Centaur-A","AC-1 (Test Vehicle)","1","0","4","3"
"US Air Force","1962-05-10","2022-08-15 12:06:00","Thor-DM21 Ablestar","ANNA 1A","1","0","4","3"
"US Air Force","1962-05-15","2022-08-15 19:36:00","Thor DM-21 Agena-B","FTV 1126","1","0","2","3"
"NASA","1962-05-24","2022-08-15 12:45:00","Atlas-D Mercury","Aurora 7 (MA-7)","1","0","2","3"
"US Air Force","1962-05-24","2022-08-15 00:00:00","Scout X-2M","DSAP-1 F1 (Program 35)","1","0","4","3"
"RVSN USSR","1962-05-28","2022-08-15 03:00:00","Cosmos-2I (63S1)","Cosmos 5","1","0","2","14"
"US Air Force","1962-05-30","2022-08-15 01:00:00","Thor DM-21 Agena-B","FTV 1128","1","0","2","3"
"RVSN USSR","1962-06-01","2022-08-15 09:37:00","Vostok-2","Zenit-2 n†­3","1","0","4","21"
"US Air Force","1962-06-02","2022-08-15 00:31:00","Thor-DM18 Agena-A","FTV 1127 & Oscar 2","1","0","2","3"
"General Dynamics","1962-06-17","2022-08-15 18:14:00","Atlas-LV3 Agena-B","Samos 8","1","0","2","3"
"US Air Force","1962-06-18","2022-08-15 20:20:00","Thor DM-21 Agena-B","FTV 2312","1","0","2","3"
"US Air Force","1962-06-19","2022-08-15 12:19:00","Thor DM-19 Delta","TIROS-5","1","0","2","3"
"US Air Force","1962-06-23","2022-08-15 00:30:00","Thor DM-21 Agena-B","FTV 1129","1","0","2","3"
"US Air Force","1962-06-28","2022-08-15 01:09:00","Thor DM-21 Agena-D","FTV 1151","1","0","2","3"
"RVSN USSR","1962-06-30","2022-08-15 16:00:00","Cosmos-2I (63S1)","Cosmos 6","1","0","2","14"
"US Air Force","1962-07-10","2022-08-15 08:35:00","Thor DM-19 Delta","Telstar 1","1","0","2","3"
